rect,N,exactArea,estArea,relError,absError
Accurate,59100,0.944517,0.936914,0.00805012,0.00760348
Accurate,59600,0.944517,0.945702,0.0012546,0.001185
Accurate,60100,0.944517,0.941507,0.00318693,0.00301011
Accurate,60600,0.944517,0.941324,0.00338049,0.00319293
Accurate,61100,0.944517,0.945221,0.000745104,0.000703763
Accurate,61600,0.944517,0.946162,0.00174093,0.00164434
Accurate,62100,0.944517,0.938283,0.00660081,0.00623458
Accurate,62600,0.944517,0.941916,0.00275384,0.00260105
Accurate,63100,0.944517,0.944305,0.000224994,0.000212511
Accurate,63600,0.944517,0.94067,0.00407338,0.00384737
Accurate,64100,0.944517,0.939935,0.00485149,0.00458232
Accurate,64600,0.944517,0.944258,0.000274277,0.000259059
Accurate,65100,0.944517,0.952745,0.00871155,0.00822821
Accurate,65600,0.944517,0.943878,0.000676278,0.000638756
Accurate,66100,0.944517,0.950249,0.00606837,0.00573168
Accurate,66600,0.944517,0.945699,0.00125158,0.00118214
Accurate,67100,0.944517,0.946589,0.00219396,0.00207223
Accurate,67600,0.944517,0.943662,0.00090544,0.000855204
Accurate,68100,0.944517,0.945654,0.00120379,0.001137
Accurate,68600,0.944517,0.950304,0.00612629,0.00578639
Accurate,69100,0.944517,0.952834,0.00880568,0.00831711
Accurate,69600,0.944517,0.946251,0.00183574,0.00173389
Accurate,70100,0.944517,0.944817,0.000317476,0.000299861
Accurate,70600,0.944517,0.945841,0.00140196,0.00132417
Accurate,71100,0.944517,0.940358,0.00440393,0.00415959
Accurate,71600,0.944517,0.944086,0.000456997,0.000431641
Accurate,72100,0.944517,0.940993,0.00373113,0.00352412
Accurate,72600,0.944517,0.945809,0.00136758,0.0012917
Accurate,73100,0.944517,0.944769,0.000266767,0.000251966
Accurate,73600,0.944517,0.944349,0.000178229,0.000168341
Accurate,74100,0.944517,0.949946,0.00574809,0.00542917
Accurate,74600,0.944517,0.944285,0.000245626,0.000231998
Accurate,75100,0.944517,0.944092,0.000449939,0.000424976
Accurate,75600,0.944517,0.947304,0.00295006,0.00278639
Accurate,76100,0.944517,0.952495,0.00844652,0.00797789
Accurate,76600,0.944517,0.947097,0.00273163,0.00258007
Accurate,77100,0.944517,0.93867,0.00619041,0.00584695
Accurate,77600,0.944517,0.936719,0.00825619,0.00779811
Accurate,78100,0.944517,0.945553,0.0010968,0.00103595
Accurate,78600,0.944517,0.95157,0.00746675,0.00705247
Accurate,79100,0.944517,0.943558,0.0010157,0.000959348
Accurate,79600,0.944517,0.942134,0.0025234,0.00238339
Accurate,80100,0.944517,0.941107,0.00361078,0.00341044
Accurate,80600,0.944517,0.946851,0.0024707,0.00233362
Accurate,81100,0.944517,0.946556,0.00215901,0.00203923
Accurate,81600,0.944517,0.950931,0.00679064,0.00641388
Accurate,82100,0.944517,0.939664,0.00513813,0.00485306
Accurate,82600,0.944517,0.940203,0.00456752,0.0043141
Accurate,83100,0.944517,0.942076,0.00258478,0.00244137
Accurate,83600,0.944517,0.94722,0.002862,0.00270321
Accurate,84100,0.944517,0.943034,0.00157074,0.00148359
Accurate,84600,0.944517,0.939949,0.00483603,0.00456772
Accurate,85100,0.944517,0.944659,0.000150071,0.000141745
Accurate,85600,0.944517,0.945718,0.00127091,0.0012004
Accurate,86100,0.944517,0.945659,0.0012084,0.00114135
Accurate,86600,0.944517,0.951914,0.00783098,0.0073965
Accurate,87100,0.944517,0.950425,0.00625464,0.00590761
Accurate,87600,0.944517,0.946271,0.00185726,0.00175422
Accurate,88100,0.944517,0.943981,0.000567696,0.000536198
Accurate,88600,0.944517,0.938928,0.00591746,0.00558914
Accurate,89100,0.944517,0.941864,0.00280942,0.00265355
Accurate,89600,0.944517,0.949061,0.00481025,0.00454336
Accurate,90100,0.944517,0.942041,0.00262187,0.0024764
Accurate,90600,0.944517,0.942832,0.00178423,0.00168523
Accurate,91100,0.944517,0.944592,7.97179e-05,7.52949e-05
Accurate,91600,0.944517,0.947196,0.00283613,0.00267877
Accurate,92100,0.944517,0.942911,0.00170028,0.00160595
Accurate,92600,0.944517,0.940553,0.00419657,0.00396373
Accurate,93100,0.944517,0.944529,1.22249e-05,1.15466e-05
Accurate,93600,0.944517,0.946882,0.00250395,0.00236503
Accurate,94100,0.944517,0.941528,0.00316461,0.00298902
Accurate,94600,0.944517,0.948411,0.0041222,0.00389349
Accurate,95100,0.944517,0.947811,0.00348701,0.00329354
Accurate,95600,0.944517,0.939952,0.00483375,0.00456556
Accurate,96100,0.944517,0.93976,0.00503648,0.00475704
Accurate,96600,0.944517,0.941122,0.00359474,0.00339529
Accurate,97100,0.944517,0.942616,0.00201329,0.00190158
Accurate,97600,0.944517,0.946169,0.00174863,0.00165162
Accurate,98100,0.944517,0.944979,0.000489321,0.000462172
Accurate,98600,0.944517,0.943576,0.000996404,0.000941121
Accurate,99100,0.944517,0.946478,0.00207605,0.00196087
Accurate,99600,0.944517,0.948782,0.00451494,0.00426444
